Year,Observed Rate of New Cases SEER 8,Modeled Trend Rate of New Cases  SEER 8,Observed Death Rate  U.S.,Modeled Trend Death Rate  U.S.,Observed 5-Year Relative Survival SEER 8,Modeled Trend 5-Year Relative Survival  SEER 8
1976,34.77,34.22,5.33,5.3,88.43%,87.71%
1977,31.57,32.12,5.22,5.22,86.52%,86.58%
1978,30.17,30.15,5.1,5.13,85.52%,85.36%
1979,28.25,28.3,4.99,5.05,85.36%,84.04%
1980,27.23,27.71,5.12,4.97,81.57%,82.61%
1981,27.32,27.14,4.88,4.89,80.53%,81.07%
1982,26.79,26.57,4.85,4.81,81.17%,81.44%
1983,26.25,26.02,4.8,4.74,82.15%,81.81%
1984,25.99,25.48,4.68,4.66,83.33%,82.17%
1985,25.01,24.95,4.61,4.59,84.27%,82.52%
1986,24.15,24.43,4.44,4.51,83.55%,82.87%
1987,24,23.92,4.42,4.44,81.76%,83.21%
1988,23.76,24.08,4.35,4.37,82.93%,83.55%
1989,24.13,24.23,4.26,4.3,84.12%,83.88%
1990,24.83,24.39,4.34,4.27,83.85%,84.20%
1991,24.23,24.55,4.18,4.24,84.22%,84.52%
1992,24.64,24.7,4.21,4.21,86.35%,84.83%
1993,24.32,24.86,4.17,4.18,85.12%,84.79%
1994,25.47,25.02,4.15,4.15,83.33%,84.74%
1995,25.3,25.19,4.15,4.12,84.94%,84.70%
1996,25.04,25.35,4.13,4.09,84.07%,84.66%
1997,25.79,25.51,4,4.07,85.52%,84.62%
1998,25.75,25.34,4.1,4.08,83.85%,84.58%
1999,25.07,25.18,4.08,4.09,85.59%,84.54%
2000,24.51,25.01,4.11,4.11,85.74%,84.49%
2001,25.18,24.85,4.18,4.12,83.99%,84.45%
2002,24.38,24.68,4.17,4.14,84.39%,84.41%
2003,24.13,24.52,4.14,4.15,84.03%,84.37%
2004,24.67,24.36,4.14,4.17,84.01%,84.32%
2005,24.44,24.2,4.12,4.18,84.32%,84.28%
2006,24.31,24.04,4.23,4.2,85.30%,84.24%
2007,24.45,24.84,4.2,4.21,84.43%,84.20%
2008,25.47,25.67,4.21,4.23,83.71%,84.15%
2009,27.09,26.52,4.17,4.24,83.92%,84.11%
2010,27.02,26.7,4.45,4.34,83.87%,84.07%
2011,26.46,26.88,4.49,4.44,83.41%,84.02%
2012,27.26,27.05,4.52,4.54,83.81%,83.98%
2013,26.54,27.23,4.65,4.64,83.61%,83.94%
2014,27.45,27.41,4.73,4.75,83.80%,83.89%
2015,27.35,27.59,4.8,4.86,85.19%,83.85%
2016,28.14,27.78,5.01,4.97,,83.81%
2017,28.19,27.96,5.03,5,,83.76%
2018,27.58,28.14,5.02,5.04,,83.72%
2019,28.76,28.33,5.06,5.08,,83.68%
2020,26.15,,5.14,5.12,,83.63%
